"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2021-01-04,"BC","Fraser","Fraser South",182,188.43
2021-01-04,"BC","Fraser","Unknown",0,0.14
2021-01-04,"BC","Interior","All",50,71.14
2021-01-04,"BC","Interior","East Kootenay",0,2.57
2021-01-04,"BC","Interior","Kootenay Boundary",6,3.43
2021-01-04,"BC","Interior","Okanagan",35,45
2021-01-04,"BC","Interior","Thompson Cariboo Shuswap",9,20.14
2021-01-04,"BC","Northern","All",49,51.71
2021-01-04,"BC","Northern","Northeast",12,13.71
2021-01-04,"BC","Northern","Northern Interior",22,22.14
2021-01-04,"BC","Northern","Northwest",15,15.86
2021-01-04,"BC","Northern","Unknown",0,0
2021-01-04,"BC","Vancouver Coastal","All",115,103.14
2021-01-04,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",14,12
2021-01-04,"BC","Vancouver Coastal","Richmond",20,21.43
2021-01-04,"BC","Vancouver Coastal","Unknown",1,0.29
2021-01-04,"BC","Vancouver Coastal","Vancouver",80,69.43
2021-01-04,"BC","Vancouver Island","All",13,14.71
2021-01-04,"BC","Vancouver Island","Central Vancouver Island",9,5.71
2021-01-04,"BC","Vancouver Island","North Vancouver Island",1,3.86
2021-01-04,"BC","Vancouver Island","South Vancouver Island",3,5.14
2021-01-04,"Out of Canada","Out of Canada","Out of Canada",0,0
2021-01-05,"BC","All","All",566,548.71
2021-01-05,"BC","Fraser","All",290,306.14
2021-01-05,"BC","Fraser","Fraser East",69,70.86
2021-01-05,"BC","Fraser","Fraser North",79,56.29
2021-01-05,"BC","Fraser","Fraser South",141,178.71
2021-01-05,"BC","Fraser","Unknown",1,0.29
2021-01-05,"BC","Interior","All",72,71.71
2021-01-05,"BC","Interior","East Kootenay",4,2.57
2021-01-05,"BC","Interior","Kootenay Boundary",8,4.43
2021-01-05,"BC","Interior","Okanagan",40,45
2021-01-05,"BC","Interior","Thompson Cariboo Shuswap",20,19.71
2021-01-05,"BC","Northern","All",33,48.29
2021-01-05,"BC","Northern","Northeast",5,13
2021-01-05,"BC","Northern","Northern Interior",17,20.57
2021-01-05,"BC","Northern","Northwest",11,14.71
2021-01-05,"BC","Northern","Unknown",0,0
2021-01-05,"BC","Vancouver Coastal","All",139,105.29
2021-01-05,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",24,12.57
2021-01-05,"BC","Vancouver Coastal","Richmond",22,20.43
2021-01-05,"BC","Vancouver Coastal","Unknown",0,0.14
2021-01-05,"BC","Vancouver Coastal","Vancouver",93,72.14
2021-01-05,"BC","Vancouver Island","All",32,17.29
2021-01-05,"BC","Vancouver Island","Central Vancouver Island",20,8.14
2021-01-05,"BC","Vancouver Island","North Vancouver Island",5,3.57
2021-01-05,"BC","Vancouver Island","South Vancouver Island",7,5.57
2021-01-05,"Out of Canada","Out of Canada","Out of Canada",0,0
2021-01-06,"BC","All","All",605,550.29
2021-01-06,"BC","Fraser","All",332,305.14
2021-01-06,"BC","Fraser","Fraser East",74,70.43
2021-01-06,"BC","Fraser","Fraser North",78,57.57
2021-01-06,"BC","Fraser","Fraser South",180,176.86
2021-01-06,"BC","Fraser","Unknown",0,0.29
2021-01-06,"BC","Interior","All",93,70
2021-01-06,"BC","Interior","East Kootenay",5,2.86
2021-01-06,"BC","Interior","Kootenay Boundary",1,4
2021-01-06,"BC","Interior","Okanagan",58,43.57
2021-01-06,"BC","Interior","Thompson Cariboo Shuswap",29,19.57
2021-01-06,"BC","Northern","All",67,48.86
2021-01-06,"BC","Northern","Northeast",9,11
2021-01-06,"BC","Northern","Northern Interior",42,22.86
2021-01-06,"BC","Northern","Northwest",16,15
2021-01-06,"BC","Northern","Unknown",0,0
2021-01-06,"BC","Vancouver Coastal","All",101,109
2021-01-06,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",10,12.14
2021-01-06,"BC","Vancouver Coastal","Richmond",14,20.86
2021-01-06,"BC","Vancouver Coastal","Unknown",0,0.14
2021-01-06,"BC","Vancouver Coastal","Vancouver",77,75.86
2021-01-06,"BC","Vancouver Island","All",12,17.29
2021-01-06,"BC","Vancouver Island","Central Vancouver Island",11,9
2021-01-06,"BC","Vancouver Island","North Vancouver Island",1,3.29
2021-01-06,"BC","Vancouver Island","South Vancouver Island",0,5
2021-01-06,"Out of Canada","Out of Canada","Out of Canada",1,0.14
2021-01-07,"BC","All","All",545,539.43
2021-01-07,"BC","Fraser","All",304,294.71
2021-01-07,"BC","Fraser","Fraser East",58,65.71
2021-01-07,"BC","Fraser","Fraser North",54,56.29
2021-01-07,"BC","Fraser","Fraser South",192,172.43
2021-01-07,"BC","Fraser","Unknown",0,0.29
2021-01-07,"BC","Interior","All",61,66.43
2021-01-07,"BC","Interior","East Kootenay",2,2.14
2021-01-07,"BC","Interior","Kootenay Boundary",1,3.43
2021-01-07,"BC","Interior","Okanagan",42,43.43
2021-01-07,"BC","Interior","Thompson Cariboo Shuswap",16,17.43
2021-01-07,"BC","Northern","All",48,49.71
2021-01-07,"BC","Northern","Northeast",10,10.57
2021-01-07,"BC","Northern","Northern Interior",20,22.57
2021-01-07,"BC","Northern","Northwest",18,16.57
2021-01-07,"BC","Northern","Unknown",0,0
2021-01-07,"BC","Vancouver Coastal","All",103,109.57
2021-01-07,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",17,13
2021-01-07,"BC","Vancouver Coastal","Richmond",19,20
2021-01-07,"BC","Vancouver Coastal","Unknown",0,0.14
2021-01-07,"BC","Vancouver Coastal","Vancouver",67,76.43
2021-01-07,"BC","Vancouver Island","All",29,19
2021-01-07,"BC","Vancouver Island","Central Vancouver Island",23,11.57
2021-01-07,"BC","Vancouver Island","North Vancouver Island",4,3.71
2021-01-07,"BC","Vancouver Island","South Vancouver Island",2,3.71
2021-01-07,"Out of Canada","Out of Canada","Out of Canada",2,0.43
2021-01-08,"BC","All","All",528,529.86
2021-01-08,"BC","Fraser","All",273,285.14
2021-01-08,"BC","Fraser","Fraser East",42,59
2021-01-08,"BC","Fraser","Fraser North",46,56.14
2021-01-08,"BC","Fraser","Fraser South",184,169.71
2021-01-08,"BC","Fraser","Unknown",1,0.29
2021-01-08,"BC","Interior","All",94,71.29
2021-01-08,"BC","Interior","East Kootenay",5,2.71
2021-01-08,"BC","Interior","Kootenay Boundary",4,3.86
2021-01-08,"BC","Interior","Okanagan",33,42.29
2021-01-08,"BC","Interior","Thompson Cariboo Shuswap",52,22.43
2021-01-08,"BC","Northern","All",38,42.43
2021-01-08,"BC","Northern","Northeast",11,8
2021-01-08,"BC","Northern","Northern Interior",21,23
2021-01-08,"BC","Northern","Northwest",6,11.43
2021-01-08,"BC","Northern","Unknown",0,0
2021-01-08,"BC","Vancouver Coastal","All",113,113.14
2021-01-08,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",22,15
2021-01-08,"BC","Vancouver Coastal","Richmond",12,18.43
2021-01-08,"BC","Vancouver Coastal","Unknown",0,0.14
2021-01-08,"BC","Vancouver Coastal","Vancouver",79,79.57
2021-01-08,"BC","Vancouver Island","All",10,17.86
2021-01-08,"BC","Vancouver Island","Central Vancouver Island",3,11.14
2021-01-08,"BC","Vancouver Island","North Vancouver Island",1,3.14
2021-01-08,"BC","Vancouver Island","South Vancouver Island",6,3.57
2021-01-08,"Out of Canada","Out of Canada","Out of Canada",1,0.57
2021-01-09,"BC","All","All",530,546.57
2021-01-09,"BC","Fraser","All",277,291.57
2021-01-09,"BC","Fraser","Fraser East",66,62.43
2021-01-09,"BC","Fraser","Fraser North",47,57.57
2021-01-09,"BC","Fraser","Fraser South",164,171.29
2021-01-09,"BC","Fraser","Unknown",0,0.29
2021-01-09,"BC","Interior","All",46,71.29
2021-01-09,"BC","Interior","East Kootenay",2,2.57
2021-01-09,"BC","Interior","Kootenay Boundary",0,3.71
2021-01-09,"BC","Interior","Okanagan",12,39.86
2021-01-09,"BC","Interior","Thompson Cariboo Shuswap",32,25.14
2021-01-09,"BC","Northern","All",80,48.86
2021-01-09,"BC","Northern","Northeast",16,9.43
2021-01-09,"BC","Northern","Northern Interior",16,22.14
2021-01-09,"BC","Northern","Northwest",48,17.29
2021-01-09,"BC","Northern","Unknown",0,0
2021-01-09,"BC","Vancouver Coastal","All",97,114.57
2021-01-09,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",16,16.14
2021-01-09,"BC","Vancouver Coastal","Richmond",18,18.71
2021-01-09,"BC","Vancouver Coastal","Unknown",0,0.14
2021-01-09,"BC","Vancouver Coastal","Vancouver",63,79.57
2021-01-09,"BC","Vancouver Island","All",30,20.29
2021-01-09,"BC","Vancouver Island","Central Vancouver Island",18,13.14
2021-01-09,"BC","Vancouver Island","North Vancouver Island",7,3.43
2021-01-09,"BC","Vancouver Island","South Vancouver Island",5,3.71
2021-01-09,"Out of Canada","Out of Canada","Out of Canada",2,0.86
2021-01-10,"BC","All","All",449,534.29
2021-01-10,"BC","Fraser","All",212,282.57
2021-01-10,"BC","Fraser","Fraser East",51,61.43
2021-01-10,"BC","Fraser","Fraser North",34,53.71
2021-01-10,"BC","Fraser","Fraser South",127,167.14
2021-01-10,"BC","Fraser","Unknown",0,0.29
2021-01-10,"BC","Interior","All",79,70.71
2021-01-10,"BC","Interior","East Kootenay",3,3
2021-01-10,"BC","Interior","Kootenay Boundary",0,2.86
2021-01-10,"BC","Interior","Okanagan",26,35.14
2021-01-10,"BC","Interior","Thompson Cariboo Shuswap",50,29.71
2021-01-10,"BC","Northern","All",58,53.29
2021-01-10,"BC","Northern","Northeast",13,10.86
2021-01-10,"BC","Northern","Northern Interior",21,22.71
2021-01-10,"BC","Northern","Northwest",24,19.71
2021-01-10,"BC","Northern","Unknown",0,0
2021-01-10,"BC","Vancouver Coastal","All",82,107.14
2021-01-10,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",15,16.86
2021-01-10,"BC","Vancouver Coastal","Richmond",5,15.71
2021-01-10,"BC","Vancouver Coastal","Unknown",0,0.14
2021-01-10,"BC","Vancouver Coastal","Vancouver",62,74.43
2021-01-10,"BC","Vancouver Island","All",18,20.57
2021-01-10,"BC","Vancouver Island","Central Vancouver Island",14,14
2021-01-10,"BC","Vancouver Island","North Vancouver Island",3,3.14
2021-01-10,"BC","Vancouver Island","South Vancouver Island",1,3.43
2021-01-10,"Out of Canada","Out of Canada","Out of Canada",0,0.86
2021-01-11,"BC","All","All",409,518.86
2021-01-11,"BC","Fraser","All",183,267.29
2021-01-11,"BC","Fraser","Fraser East",38,56.86
2021-01-11,"BC","Fraser","Fraser North",33,53
2021-01-11,"BC","Fraser","Fraser South",111,157
2021-01-11,"BC","Fraser","Unknown",1,0.43
2021-01-11,"BC","Interior","All",67,73.14
2021-01-11,"BC","Interior","East Kootenay",6,3.86
2021-01-11,"BC","Interior","Kootenay Boundary",2,2.29
2021-01-11,"BC","Interior","Okanagan",23,33.43
2021-01-11,"BC","Interior","Thompson Cariboo Shuswap",36,33.57
2021-01-11,"BC","Northern","All",47,53
2021-01-11,"BC","Northern","Northeast",4,9.71
2021-01-11,"BC","Northern","Northern Interior",28,23.57
2021-01-11,"BC","Northern","Northwest",15,19.71
2021-01-11,"BC","Northern","Unknown",0,0
2021-01-11,"BC","Vancouver Coastal","All",99,104.86
2021-01-11,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",24,18.29
2021-01-11,"BC","Vancouver Coastal","Richmond",4,13.43
2021-01-11,"BC","Vancouver Coastal","Unknown",0,0
2021-01-11,"BC","Vancouver Coastal","Vancouver",71,73.14
2021-01-11,"BC","Vancouver Island","All",13,20.57
2021-01-11,"BC","Vancouver Island","Central Vancouver Island",7,13.71
2021-01-11,"BC","Vancouver Island","North Vancouver Island",2,3.29
2021-01-11,"BC","Vancouver Island","South Vancouver Island",4,3.57
2021-01-11,"Out of Canada","Out of Canada","Out of Canada",1,1
2021-01-12,"BC","All","All",504,510
2021-01-12,"BC","Fraser","All",231,258.86
2021-01-12,"BC","Fraser","Fraser East",55,54.86
2021-01-12,"BC","Fraser","Fraser North",48,48.57
2021-01-12,"BC","Fraser","Fraser South",127,155
2021-01-12,"BC","Fraser","Unknown",1,0.43
2021-01-12,"BC","Interior","All",81,74.43
2021-01-12,"BC","Interior","East Kootenay",0,3.29
2021-01-12,"BC","Interior","Kootenay Boundary",0,1.14
2021-01-12,"BC","Interior","Okanagan",40,33.43
2021-01-12,"BC","Interior","Thompson Cariboo Shuswap",41,36.57
2021-01-12,"BC","Northern","All",43,54.43
2021-01-12,"BC","Northern","Northeast",12,10.71
